Model,MAE,MSE,RMSE,MAPE,R-Squared (R2),Adjusted R-Squared,RSE,Train R2,Test R2,R2 Difference,Train RMSE,Test RMSE
Ridge Tuned,2.8642015120766566,18.51052411031813,4.302385862555581,5.790428283681592,0.9982665741042956,0.9982607514495078,4.309872928762907,0.993225254068484,0.9982665741042956,0.0050413200358115,18.87017032041273,4.302385862555581
Lasso Tuned,2.0619884736494707,13.783565986134956,3.712622521363431,2.497333489234334,0.9987092321063886,0.9987048963595452,3.71908327395705,0.9935235597813332,0.9987092321063886,0.0051856723250552,18.450047738981247,3.712622521363431
Elastic Net Tuned,2.463839178960157,16.75733090699211,4.093571900796676,4.11209677434286,0.9984307526267784,0.99842548145496,4.100695586310906,0.9932862151056906,0.9984307526267784,0.0051445375210879,18.78507896375684,4.093571900796676
Decision Tree Tuned,2.25213933559343,16.918840823626624,4.113251855117387,2.177837532099757,0.9984156279620072,0.9984103059857664,4.120409787936638,0.9964394807010352,0.9984156279620072,0.0019761472609721,13.679996482947368,4.113251855117387
Random Forest Tuned,2.2005213413328724,16.664354943318347,4.082199767688782,2.2117412338901703,0.9984394594004036,0.9984342174750256,4.089303663273374,0.9981415178532936,0.9984394594004036,0.0002979415471101,9.883448654439295,4.082199767688782
KNN Tuned,2.863336942236145,28.12232414671032,5.303048571030659,3.368051266054835,0.9973664730056924,0.9973576268712254,5.312277003119358,1.0,0.9973664730056924,0.0026335269943075,0.0,5.303048571030659
SVR Tuned,4.882351851352442,32.757032353277175,5.72337595770863,12.23447951479483,0.9969324537863328,0.9969221497619776,5.7333358488234,0.9933638177303176,0.9969324537863328,0.0035686360560153,18.676197873374683,5.72337595770863
