Model,MAE,MSE,RMSE,MAPE,R-Squared (R2),Adjusted R-Squared,RSE,Train R2,Test R2,R2 Difference,Train RMSE,Test RMSE
Ridge Tuned,2.8642015120766566,18.51052411031813,4.302385862555581,5.7904282836815915,0.9982665741042955,0.9982607514495078,4.309872928762907,0.9932252540684839,0.9982665741042955,0.005041320035811592,18.87017032041273,4.302385862555581
Lasso Tuned,2.0619884736494707,13.783565986134956,3.7126225213634307,2.4973334892343346,0.9987092321063886,0.9987048963595452,3.71908327395705,0.9935235597813333,0.9987092321063886,0.0051856723250552905,18.450047738981247,3.7126225213634307
Elastic Net Tuned,2.4638391789601575,16.75733090699211,4.093571900796676,4.11209677434286,0.9984307526267785,0.99842548145496,4.100695586310906,0.9932862151056906,0.9984307526267785,0.0051445375210879,18.78507896375684,4.093571900796676
