iter	Passed	Remaining
391	3772	5851
392	3781	5841
393	3789	5828
394	3797	5816
395	3804	5802
396	3814	5793
397	3821	5780
398	3829	5768
399	3837	5755
400	3846	5746
401	3854	5733
402	3863	5723
403	3871	5710
404	3880	5700
405	3890	5692
406	3899	5681
407	3908	5670
408	3916	5659
409	3924	5647
410	3931	5634
411	3940	5623
412	3947	5611
413	3956	5600
414	3964	5587
415	3972	5576
416	3980	5564
417	3988	5553
418	3997	5542
419	4004	5530
420	4013	5520
421	4022	5509
422	4029	5496
423	4037	5484
424	4045	5472
425	4052	5460
426	4061	5450
427	4070	5439
428	4078	5428
429	4086	5417
430	4093	5404
431	4102	5393
432	4111	5383
433	4120	5374
434	4127	5361
435	4136	5350
436	4143	5337
437	4152	5328
438	4163	5320
439	4172	5309
440	4179	5297
441	4187	5286
442	4194	5274
443	4204	5264
444	4211	5252
445	4219	5241
446	4229	5233
447	4239	5223
448	4246	5211
449	4256	5201
450	4264	5191
451	4273	5180
452	4282	5170
453	4289	5159
454	4298	5148
455	4306	5137
456	4314	5126
457	4324	5117
458	4333	5107
459	4340	5095
460	4349	5084
461	4356	5073
462	4365	5063
463	4373	5051
464	4383	5043
465	4390	5031
466	4399	5021
467	4407	5009
468	4416	5000
469	4425	4990
470	4434	4980
471	4440	4967
472	4449	4957
473	4456	4945
474	4466	4936
475	4473	4924
476	4481	4913
477	4488	4901
478	4498	4892
479	4504	4880
480	4513	4870
481	4521	4858
482	4528	4847
483	4538	4838
484	4546	4827
485	4553	4816
486	4564	4808
487	4572	4797
488	4581	4787
489	4588	4775
490	4598	4767
491	4605	4755
492	4615	4746
493	4622	4734
494	4632	4725
495	4639	4714
496	4648	4704
497	4655	4693
498	4664	4683
499	4671	4671
500	4679	4661
501	4687	4649
502	4695	4639
503	4703	4629
504	4714	4620
505	4721	4610
506	4732	4601
507	4740	4590
508	4751	4583
509	4760	4574
510	4768	4563
511	4778	4554
512	4786	4543
513	4796	4535
514	4804	4524
515	4813	4514
516	4820	4503
517	4830	4494
518	4837	4483
519	4847	4474
520	4855	4464
521	4864	4454
522	4874	4445
523	4881	4434
524	4890	4424
525	4898	4413
526	4906	4403
527	4913	4392
528	4921	4382
529	4929	4371
530	4938	4361
531	4947	4352
532	4958	4344
533	4965	4333
534	4975	4324
535	4982	4312
536	4991	4303
537	4998	4292
538	5007	4282
539	5013	4271
540	5022	4261
541	5030	4250
542	5041	4243
543	5049	4232
544	5059	4224
545	5067	4213
546	5075	4203
547	5083	4193
548	5091	4182
549	5101	4173
550	5110	4164
551	5119	4154
552	5126	4144
553	5136	4135
554	5144	4124
555	5152	4114
556	5162	4105
557	5170	4095
558	5177	4084
559	5186	4075
560	5193	4064
561	5203	4055
562	5211	4044
563	5222	4036
564	5230	4027
565	5238	4016
566	5245	4005
567	5254	3996
568	5262	3986
569	5272	3977
570	5280	3967
571	5288	3957
572	5296	3947
573	5304	3936
574	5312	3926
575	5320	3916
576	5327	3905
577	5336	3896
578	5344	3885
579	5353	3876
580	5361	3866
581	5373	3859
582	5382	3850
583	5390	3839
584	5398	3830
585	5406	3819
586	5413	3809
587	5421	3798
588	5430	3789
589	5436	3778
590	5444	3768
591	5452	3757
592	5460	3747
593	5470	3738
594	5478	3728
595	5485	3718
596	5493	3708
597	5501	3698
598	5511	3689
599	5518	3678
600	5527	3669
601	5534	3659
602	5542	3649
603	5549	3638
604	5557	3628
605	5564	3618
606	5572	3607
607	5581	3598
608	5588	3588
609	5597	3578
610	5604	3568
611	5613	3559
612	5621	3548
613	5631	3540
614	5638	3529
615	5646	3519
616	5653	3509
617	5663	3500
618	5670	3490
619	5680	3481
620	5687	3470
621	5695	3461
622	5704	3451
623	5713	3442
624	5721	3433
625	5729	3423
626	5738	3413
627	5745	3403
628	5754	3394
629	5763	3384
630	5771	3375
631	5781	3366
632	5790	3357
633	5800	3348
634	5809	3339
635	5817	3329
636	5825	3319
637	5833	3309
638	5840	3299
639	5847	3289
640	5858	3281
641	5866	3271
642	5874	3261
643	5881	3251
644	5891	3242
645	5899	3232
646	5909	3223
647	5916	3213
648	5925	3204
649	5932	3194
650	5941	3185
651	5949	3175
652	5957	3166
653	5965	3155
654	5974	3147
655	5981	3136
656	5992	3128
657	6000	3118
658	6010	3110
659	6019	3100
660	6026	3090
661	6035	3081
662	6042	3071
663	6050	3061
664	6058	3051
665	6066	3042
666	6073	3032
667	6081	3022
668	6089	3012
669	6096	3002
670	6105	2993
671	6112	2983
672	6121	2974
673	6129	2964
674	6137	2954
675	6144	2944
676	6153	2935
677	6160	2925
678	6168	2916
679	6175	2906
680	6186	2897
681	6195	2889
682	6228	2890
683	6241	2883
684	6249	2873
685	6257	2864
686	6264	2854
687	6274	2845
688	6282	2835
689	6292	2826
690	6299	2816
691	6307	2807
692	6315	2797
693	6323	2788
694	6331	2778
695	6340	2769
696	6347	2759
697	6356	2750
698	6363	2740
699	6371	2730
700	6380	2721
701	6388	2711
702	6396	2702
703	6405	2693
704	6412	2683
705	6421	2674
706	6429	2664
707	6438	2655
708	6445	2645
709	6454	2636
710	6461	2626
711	6469	2616
712	6476	2606
713	6484	2597
714	6493	2588
715	6501	2578
716	6509	2569
717	6517	2559
718	6524	2550
719	6535	2541
720	6543	2531
721	6551	2522
722	6559	2513
723	6567	2503
724	6574	2493
725	6583	2484
726	6591	2475
727	6599	2465
728	6607	2456
729	6617	2447
730	6624	2437
731	6633	2428
732	6640	2418
733	6648	2409
734	6655	2399
735	6664	2390
736	6671	2380
737	6680	2371
738	6687	2361
739	6695	2352
740	6703	2343
741	6713	2334
742	6720	2324
743	6728	2315
744	6736	2305
745	6744	2296
746	6752	2286
747	6760	2277
748	6767	2267
749	6774	2258
750	6783	2249
751	6790	2239
752	6800	2230
753	6808	2221
754	6816	2211
755	6824	2202
756	6833	2193
757	6841	2184
758	6849	2174
759	6856	2165
760	6864	2155
761	6872	2146
762	6881	2137
763	6888	2128
764	6897	2118
765	6904	2109
766	6913	2100
767	6921	2090
768	6932	2082
769	6940	2073
770	6948	2063
771	6956	2054
772	6963	2044
773	6970	2035
774	6979	2026
775	6986	2016
776	6995	2007
777	7001	1997
778	7010	1988
779	7017	1979
780	7027	1970
781	7034	1961
782	7044	1952
783	7051	1942
784	7059	1933
785	7066	1923
786	7075	1915
787	7083	1905
788	7091	1896
789	7099	1887
790	7108	1878
791	7116	1868
792	7127	1860
793	7134	1851
794	7143	1842
795	7153	1833
796	7161	1823
797	7169	1814
798	7178	1805
799	7187	1796
800	7194	1787
801	7203	1778
802	7210	1768
803	7219	1760
804	7229	1751
805	7237	1742
806	7244	1732
807	7253	1723
808	7260	1714
809	7270	1705
810	7287	1698
811	7296	1689
812	7308	1680
813	7319	1672
814	7330	1664
815	7340	1655
816	7349	1646
817	7357	1636
818	7364	1627
819	7373	1618
820	7380	1609
821	7389	1600
822	7396	1590
823	7405	1581
824	7412	1572
825	7422	1563
826	7429	1554
827	7438	1545
828	7446	1535
829	7453	1526
830	7460	1517
831	7469	1508
832	7476	1498
833	7485	1489
834	7492	1480
835	7500	1471
836	7508	1462
837	7517	1453
838	7524	1443
839	7533	1434
840	7540	1425
841	7548	1416
842	7557	1407
843	7565	1398
844	7573	1389
845	7581	1380
846	7588	1370
847	7596	1361
848	7604	1352
849	7612	1343
850	7620	1334
851	7627	1324
852	7635	1315
853	7644	1306
854	7655	1298
855	7663	1289
856	7670	1279
857	7679	1270
858	7687	1261
859	7695	1252
860	7702	1243
861	7710	1234
862	7720	1225
863	7731	1216
864	7738	1207
865	7746	1198
866	7753	1189
867	7764	1180
868	7772	1171
869	7781	1162
870	7788	1153
871	7797	1144
872	7804	1135
873	7812	1126
874	7819	1117
875	7828	1108
876	7837	1099
877	7846	1090
878	7854	1081
879	7863	1072
880	7871	1063
881	7879	1054
882	7886	1044
883	7894	1035
884	7902	1026
885	7911	1018
886	7918	1008
887	7927	999
888	7934	990
889	7942	981
890	7949	972
891	7958	963
892	7966	954
893	7975	945
894	7982	936
895	7990	927
896	7998	918
897	8007	909
898	8015	900
899	8023	891
900	8030	882
901	8038	873
902	8045	864
903	8053	855
904	8060	846
905	8068	837
906	8078	828
907	8085	819
908	8094	810
909	8108	801
910	8117	793
911	8132	784
912	8145	776
913	8157	767
914	8166	758
915	8181	750
916	8192	741
917	8200	732
918	8209	723
919	8215	714
920	8224	705
921	8231	696
922	8241	687
923	8251	678
924	8258	669
925	8265	660
926	8275	651
927	8283	642
928	8292	633
929	8299	624
930	8307	615
931	8314	606
932	8323	597
933	8329	588
934	8337	579
935	8344	570
936	8352	561
937	8360	552
938	8369	543
939	8376	534
940	8386	525
941	8394	516
942	8405	508
943	8412	499
944	8421	490
945	8428	481
946	8436	472
947	8443	463
948	8452	454
949	8459	445
950	8468	436
951	8476	427
952	8485	418
953	8492	409
954	8503	400
955	8512	391
956	8521	382
957	8528	373
958	8536	364
959	8544	356
960	8553	347
961	8560	338
962	8569	329
963	8577	320
964	8585	311
965	8592	302
966	8602	293
967	8609	284
968	8617	275
969	8625	266
970	8633	257
971	8640	248
972	8650	240
973	8657	231
974	8665	222
975	8672	213
976	8681	204
977	8688	195
978	8698	186
979	8706	177
980	8716	168
981	8724	159
982	8732	151
983	8739	142
984	8747	133
985	8754	124
986	8764	115
987	8771	106
988	8781	97
989	8789	88
990	8797	79
991	8804	71
992	8813	62
993	8820	53
994	8829	44
995	8837	35
996	8846	26
997	8855	17
998	8862	8
999	8871	0
