iter	RMSE
183	24.22476176
184	24.22023512
185	24.21492115
186	24.19051524
187	24.17744566
188	24.12286045
189	24.11638763
190	24.10722325
191	24.09875647
192	24.08575552
193	24.07679844
194	24.06951679
195	24.06189527
196	24.02221308
197	23.97570787
198	23.93273088
199	23.89569272
200	23.84544812
201	23.82601474
202	23.77033535
203	23.76238831
204	23.72821434
205	23.67146743
206	23.64279215
207	23.61556228
208	23.60298409
209	23.57400539
210	23.54199631
211	23.53457626
212	23.49520398
213	23.45260014
214	23.44559943
215	23.43835685
216	23.41255393
217	23.36488813
218	23.35830092
219	23.34117201
220	23.32364484
221	23.306976
222	23.29964459
223	23.28430657
224	23.26858554
225	23.22339195
226	23.19534628
227	23.16280079
228	23.13662625
229	23.13136142
230	23.1264154
231	23.10214606
232	23.07578137
233	23.0500941
234	23.03254397
235	22.98720476
236	22.98120598
237	22.97555274
238	22.95315101
239	22.92917179
240	22.91257983
241	22.89661058
242	22.88968648
243	22.88504173
244	22.87136111
245	22.84258431
246	22.82233014
247	22.81759463
248	22.81344167
249	22.80493928
250	22.76766282
251	22.74436401
252	22.70828222
253	22.68645164
254	22.64547493
255	22.62171083
256	22.61800311
257	22.5967228
258	22.58396032
259	22.56262895
260	22.55811781
261	22.54060149
262	22.53600625
263	22.53194378
264	22.52736026
265	22.52411992
266	22.519775
267	22.51380457
268	22.51070064
269	22.50765965
270	22.47361902
271	22.45481264
272	22.444643
273	22.42987469
274	22.41566643
275	22.38460509
276	22.3527954
277	22.3480228
278	22.33769306
279	22.33375359
280	22.32402885
281	22.31977898
282	22.31061362
283	22.28928419
284	22.28542297
285	22.26546354
286	22.24391353
287	22.22073511
288	22.21703173
289	22.19989214
290	22.17815671
291	22.15889152
292	22.15033078
293	22.14702022
294	22.14464561
295	22.12276786
296	22.0857993
297	22.06300077
298	22.05411745
299	22.03182502
300	22.01044705
301	21.9899428
302	21.97027358
303	21.95140267
304	21.93450777
305	21.91919306
306	21.90212351
307	21.88781251
308	21.87549128
309	21.86168154
310	21.8461427
311	21.83430839
312	21.80594959
313	21.79342569
314	21.77706269
315	21.76561519
316	21.73944507
317	21.72843998
318	21.71708135
319	21.71141219
320	21.69950022
321	21.67920606
322	21.66820683
323	21.6503524
324	21.64492066
325	21.63475626
326	21.61074183
327	21.59700377
328	21.58675953
329	21.56781881
330	21.54509859
331	21.53480098
332	21.5309335
333	21.51897397
334	21.50350675
335	21.50004481
336	21.48119555
337	21.47698089
338	21.46461502
339	21.45321214
340	21.44376742
341	21.43964176
342	21.43488542
343	21.42348397
344	21.42011917
345	21.41740136
346	21.4068511
347	21.40438945
348	21.40032966
349	21.39682239
350	21.39182633
351	21.38705323
352	21.36125869
353	21.35678341
354	21.35254932
355	21.34844539
356	21.3330488
357	21.30910779
358	21.30587523
359	21.26932205
360	21.26622031
361	21.26325653
362	21.24598649
363	21.22996935
364	21.22710088
365	21.20850925
366	21.19993999
367	21.18512682
368	21.17532548
369	21.16144807
370	21.13928891
371	21.12891459
372	21.11741661
373	21.10676155
374	21.0957012
375	21.09236776
376	21.08193224
377	21.07881051
378	21.07591905
379	21.07258814
380	21.06092668
381	21.05774204
382	21.05584196
383	21.03963225
384	21.02920609
385	21.0263833
386	21.02398046
387	21.02112732
388	21.01731484
389	21.01424872
390	21.01094322
391	21.00946651
392	21.00642057
393	21.00403943
394	21.00101997
395	20.99803471
396	20.98337467
397	20.97282642
398	20.95236242
399	20.93447632
400	20.92470318
401	20.9216835
402	20.9187346
403	20.91606166
404	20.91329392
405	20.89490592
406	20.89331928
407	20.88365519
408	20.88126716
409	20.87859356
410	20.87615917
411	20.86499309
412	20.861688
413	20.85920434
414	20.85172604
415	20.8493495
416	20.8334866
417	20.83026663
418	20.82783799
419	20.82459571
420	20.81107509
421	20.80498088
422	20.80124395
423	20.7854705
424	20.77116842
425	20.76831892
426	20.76554211
427	20.75715879
428	20.75440935
429	20.75202814
430	20.74972157
431	20.74741562
432	20.74456457
433	20.74244703
434	20.73991667
435	20.7324307
436	20.72966583
437	20.72610959
438	20.72394927
439	20.71383553
440	20.70435806
441	20.70227132
442	20.68920015
443	20.67247924
444	20.66804002
445	20.66009107
446	20.65333699
447	20.65126699
448	20.65003757
449	20.64755244
450	20.64576732
451	20.64456707
452	20.6328438
453	20.62963197
454	20.62710021
455	20.62455187
456	20.62297867
457	20.61063706
458	20.59949355
459	20.58874106
460	20.58633873
461	20.57310909
462	20.5658527
463	20.55564063
464	20.5457779
465	20.53962682
466	20.52864326
467	20.51925547
468	20.50888342
469	20.49446543
470	20.48121682
471	20.47280224
472	20.46398784
473	20.45625775
474	20.44270844
475	20.4273392
476	20.41620637
477	20.40843247
478	20.39536254
479	20.38443748
480	20.37272685
481	20.36149279
482	20.35566964
483	20.34598642
484	20.33766035
485	20.3216153
486	20.31637389
487	20.30372961
488	20.29238191
489	20.29015556
490	20.28491002
491	20.28000115
492	20.27051927
493	20.26419924
494	20.25477467
495	20.24670233
496	20.24459968
497	20.24238308
498	20.23965925
499	20.23747113
500	20.23566395
501	20.23149122
502	20.22144013
503	20.21583769
504	20.21045171
505	20.20527238
506	20.19970623
507	20.18770153
508	20.18290317
509	20.17772892
510	20.17275573
511	20.16797476
512	20.16031184
513	20.15584536
514	20.13563714
515	20.1303863
516	20.12364562
517	20.12131334
518	20.12065977
519	20.10999139
520	20.10814863
521	20.10617718
522	20.1052641
523	20.09906831
524	20.07984326
525	20.07892011
526	20.06430154
527	20.06256047
528	20.0602732
529	20.05330626
530	20.04789816
531	20.04159634
532	20.0367984
533	20.0272666
534	20.02453861
535	20.02194974
536	20.01978171
537	20.01720438
538	20.01456938
539	20.01233205
540	20.0099007
541	20.00816017
542	20.00638874
543	20.00395962
544	20.00166125
545	19.99948951
546	19.99679374
547	19.98714105
548	19.98561775
549	19.97030375
550	19.9682928
551	19.96682784
552	19.9650717
553	19.96315811
554	19.96139319
555	19.9592233
556	19.95772514
557	19.9553707
558	19.94646274
559	19.94495608
560	19.93826119
561	19.92042184
562	19.91102408
563	19.89395875
564	19.87763916
565	19.87354845
566	19.87217757
567	19.85654901
568	19.84160168
569	19.83512336
570	19.83107766
571	19.82519614
572	19.82447549
573	19.82292625
574	19.80842811
575	19.80043082
576	19.79227843
577	19.77857589
578	19.7675721
579	19.75641135
580	19.74572783
581	19.73392029
582	19.72967806
583	19.72242163
584	19.71214869
585	19.70353624
586	19.6981032
587	19.68548449
588	19.67321813
589	19.66796173
590	19.66300032
591	19.65788381
592	19.65358617
593	19.6486653
594	19.64290389
595	19.63324173
596	19.6262426
597	19.62448164
598	19.61524399
599	19.61344754
600	19.61227937
601	19.6056922
602	19.60171088
603	19.59952674
604	19.59572282
605	19.59393152
606	19.59029228
607	19.58866998
608	19.58678288
609	19.58542166
610	19.58354312
611	19.57945327
612	19.5765557
613	19.57436589
614	19.56292645
615	19.561425
616	19.56020194
617	19.5587687
618	19.55704575
619	19.54933065
620	19.54447071
621	19.53239404
622	19.53104348
623	19.52927295
624	19.52862362
625	19.52681914
626	19.52489678
627	19.52382735
628	19.52180509
629	19.52062596
630	19.51888608
631	19.51796118
632	19.51652287
633	19.51543311
634	19.50580144
635	19.49807613
636	19.49714322
637	19.49562145
638	19.49201036
639	19.48901375
640	19.47971441
641	19.47352474
642	19.46349858
643	19.46008165
644	19.45923499
645	19.45042946
646	19.44848472
647	19.4479628
648	19.44665506
649	19.44525715
650	19.44429631
651	19.44099826
652	19.43661979
653	19.42471905
654	19.41297657
655	19.4115101
656	19.41019473
657	19.40934596
658	19.40774118
659	19.40720172
660	19.39900774
661	19.38801415
662	19.38054745
663	19.37377118
664	19.3576065
665	19.34793318
666	19.33682256
667	19.33405184
668	19.32550363
669	19.3220604
670	19.32061049
671	19.31270791
672	19.31128936
673	19.30980897
674	19.29917545
675	19.29716506
676	19.29552889
677	19.2916807
678	19.28805453
679	19.28463472
680	19.26949944
681	19.24627711
682	19.24338255
683	19.24224099
684	19.24193266
685	19.24035131
686	19.2367553
687	19.23488619
688	19.23327458
689	19.23166273
690	19.23052016
691	19.22931327
692	19.22854912
693	19.22716121
694	19.22576918
695	19.22422338
696	19.22367776
697	19.22209745
698	19.22099567
699	19.21061763
700	19.20093041
701	19.19976195
702	19.1988284
703	19.19294585
704	19.19115037
705	19.19000476
706	19.18867497
707	19.18140126
708	19.17176088
709	19.16558076
710	19.15059076
711	19.14793973
712	19.14654778
713	19.14483584
714	19.14314225
715	19.1405885
716	19.13758415
717	19.13707577
718	19.13385539
719	19.13316211
720	19.12995105
721	19.12400878
722	19.11493381
723	19.11379252
724	19.11260927
725	19.09817019
726	19.09340089
727	19.0904575
728	19.07663635
729	19.0668866
730	19.06572445
731	19.06408486
732	19.06294194
733	19.06208492
734	19.06066222
735	19.04648935
736	19.03789397
737	19.02388307
738	19.01568127
739	19.00759361
740	19.00517692
741	19.00344681
742	19.00223624
743	19.00030322
744	18.99927358
745	18.99316017
746	18.99098386
747	18.98714853
748	18.98570474
749	18.98030814
750	18.96443547
751	18.95983816
752	18.9523425
753	18.94242453
754	18.94127312
755	18.94002234
756	18.93861037
757	18.92873275
758	18.92436023
759	18.9237497
760	18.92345436
761	18.92231575
762	18.92154611
763	18.92027149
764	18.91902973
765	18.91776201
766	18.91674546
767	18.9155083
768	18.91506279
769	18.91380124
770	18.91302544
771	18.91188242
772	18.90816945
773	18.90662908
774	18.90265208
775	18.89289909
776	18.89160085
777	18.89030012
778	18.88923019
779	18.88785652
780	18.88633086
781	18.88543664
782	18.8726179
783	18.86401802
784	18.84992199
785	18.84905327
786	18.84199781
787	18.83628803
788	18.83483435
789	18.83397414
790	18.82104623
791	18.82011855
792	18.81899987
793	18.81798055
794	18.81441019
795	18.81357871
796	18.81257894
797	18.81126269
798	18.81047986
799	18.80980782
800	18.80906288
801	18.8048201
802	18.80389449
803	18.8026819
804	18.801716
805	18.80070626
806	18.79976868
807	18.79870638
808	18.7934818
809	18.78594934
810	18.77660919
811	18.77368573
812	18.77301343
813	18.77201045
814	18.77074622
815	18.77050471
816	18.76703456
817	18.7659805
818	18.76477521
819	18.76396416
820	18.76292337
821	18.75430949
822	18.75326448
823	18.7523679
824	18.74505357
825	18.74438815
826	18.7414391
827	18.73837761
828	18.73172672
829	18.73110461
830	18.73051914
831	18.72965317
832	18.7263001
833	18.72372151
834	18.72218962
835	18.72132348
836	18.72084978
837	18.71979539
838	18.71353385
839	18.71266383
840	18.7028497
841	18.70195989
842	18.70041458
843	18.69926719
844	18.69862253
845	18.6958178
846	18.69504237
847	18.6924117
848	18.69188059
849	18.69129532
850	18.69056571
851	18.68789358
852	18.68734352
853	18.67521155
854	18.67449096
855	18.67359957
856	18.67254715
857	18.67153853
858	18.66847013
859	18.6673221
860	18.65806527
861	18.65731534
862	18.6560898
863	18.65345732
864	18.65252849
865	18.65165483
866	18.65116452
867	18.65074517
868	18.64989511
869	18.64892542
870	18.64794155
871	18.6441724
872	18.63123622
873	18.63050398
874	18.62966585
875	18.62695689
876	18.62225967
877	18.61456076
878	18.61306825
879	18.60403305
880	18.59968166
881	18.59883026
882	18.59796594
883	18.5970855
884	18.59672538
885	18.59560828
886	18.59302246
887	18.5889644
888	18.58655434
889	18.58410873
890	18.57673586
891	18.56664806
892	18.56337933
893	18.55399556
894	18.55138538
895	18.55074403
896	18.54810863
897	18.54703126
898	18.5458479
899	18.54477728
900	18.54398645
901	18.54314123
902	18.54240704
903	18.541715
904	18.5410302
905	18.54043155
906	18.53932774
907	18.53848133
908	18.53604317
909	18.53482207
910	18.52577104
911	18.52020749
912	18.52000164
913	18.5171857
914	18.51620188
915	18.51350105
916	18.50760197
917	18.4991635
918	18.49685958
919	18.49411016
920	18.48775174
921	18.48666359
922	18.48596703
923	18.48523797
924	18.48289041
925	18.48207888
926	18.4815777
927	18.48081702
928	18.47987199
929	18.47913333
930	18.47801303
931	18.47714302
932	18.47218321
933	18.46988141
934	18.46449472
935	18.46152609
936	18.45928235
937	18.45411234
938	18.45203541
939	18.45185041
940	18.45151028
941	18.45042716
942	18.44975876
943	18.44812418
944	18.44483304
945	18.44421089
946	18.44344378
947	18.4427326
948	18.44055622
949	18.43849178
950	18.43473446
951	18.43456512
952	18.43099785
953	18.43044879
954	18.42972613
955	18.42853861
956	18.42408555
957	18.42147386
958	18.4091317
959	18.40843041
960	18.40799215
961	18.40498112
962	18.404131
963	18.40323281
964	18.40268824
965	18.40248621
966	18.3976491
967	18.39571939
968	18.39504267
969	18.39439283
970	18.38938619
971	18.3873372
972	18.37547157
973	18.37466615
974	18.36888499
975	18.36688742
976	18.36181432
977	18.36116193
978	18.36069547
979	18.36042816
980	18.35959513
981	18.35807865
982	18.35744952
983	18.35682745
984	18.35203326
985	18.34942418
986	18.34347332
987	18.3426397
988	18.34229644
989	18.3413762
990	18.34016383
991	18.33532708
992	18.3345978
993	18.33336539
994	18.33218391
995	18.32666601
996	18.31530552
997	18.3117538
998	18.29873622
999	18.29415673
